title,skills,budget,budget_type,category,experience
Research Analyst,"Qualitative Research,
Online Research,
Pricing Research,
Presentations,
Data Processing,
Data Analysis,
Microsoft Excel,
Market Analysis,
Market Research
Data Entry",$5.00,Hourly,Data Analyst,Expert
Market Research Demand Analyst,"Data Analysis,
Business Intelligence,
Microsoft Excel,
Demand Analysis,",$20.00,Hourly,Data Analyst,Intermediate
Research & Insights Analyst - Discover Business Trends from Customer Data,"Data Analysis,
Microsoft Excel,
Market Analysis,
Business Analysis,
Data Mining",$20.00,Hourly,Data Analyst,Intermediate
Marketing Data Analyst & Power BI Specialist (Data Cleaning + EDA),"Data Analysis,
Data Science,
Business Intelligence",$20.00,Hourly,Data Analyst,Intermediate
"Finance Operations Analyst (10-15 hrs/week, Long-Term)","Accounting Principles & Practices,
Financial Analysis,
Financial Modelin,
Forecasting,
Industry Knowledge,
Financial Planning,
Business Plan,
Business Cases,
Financial Projection,
Financial Report,",$9.00,Hourly,Data Analyst,Expert
Data Analyst for Small-Scale Project,"Data Analysis,
Data Science,
SAS,
Data Modeling,
SAS,
Excel,
Tableau,",$15.00,Hourly,Data Analyst,Intermediate
Analyze a Dataset and Create Simple Visual Charts Using Python,"Data Visualization,
Matplotlib,
Python,
pandas,
Data Analysis,
Excel/CSV handing",$20.00,Fixed,Data Analyst,Expert
"Business Analyst, Source-to-Pay","Business Process Modeling,
Business Process Reengineering,
Needs ,
Requirement Management,
Business Analysis,
Requirement Analysis,
Stakeholder Management,",$40.00,Hourly,Data Analyst,Intermediate
Data Analyst,"SQL,
Data Visualization,
Data Analysis,
Python,
Time Series Analysis,
Optimization Modeling,",$12.50,Hourly,Data Analyst,Entry
Python Data Scientist / Quantitative Research Analyst – Fixed Income & Machine Learning,"Quantitative Research,
Python,
Data Analysis,
Machine Learning,
Financial Modeling,
Quantitative Finance,
Bloomberg Terminal,
Financial Analysis,
Time Series Analysis,
Capital Markets,",$4.00,Hourly,Data Analyst,Expert
Business analyst in performio,"Business Analysis,
sales comp,
Business Process Modeling,
performio,",$250.00,Fixed,Data Analyst,Intermediate
Data analyst to build multi-source transaction reconciliation pipeline (Python/AI-assisted),"Python,
SQL,
Data Analysis,
pandas,
ETL Pipeline,",$35.00,Hourly,Data Analyst,Expert
"Data Analyst for Excel, SQL, Power BI","Tableau,
Microsoft Excel, PowerPivot,
Microsoft Power BI,
Microsoft Excel,
Data Visualization,
SQL,
Microsoft Power BI Data, Visualization,
Data Analysis,
Microsoft Access,",$15.00,Hourly,Data Analyst,Intermediate
Research Analyst - Acquisition Target Lists (Marketing/Advertising Agency Specialist),"List Building,
Lead Generation,
Online Research,
Microsoft Excel,
Company Research,
Data Entry",,Hourly,Data Analyst,Intermediate
Equity Research Analyst (US stocks),"Financial Analysis,
Financial Modeling,
Microsoft Excel,
Market Research,
Company Valuation,
Business Valuation,
Data Analysis",$30.00,Hourly,Data Analyst,Intermediate
Automate Typeform Responses Into Two Official PDF Application Forms,"Automation,
Typeform,",$1000.00,Fixed,Automation,Intermediate
Automate Report Writing with Photo Upload,Microsoft Word,,Hourly,Automation,Intermediate
Google Spreadsheet Automation,"Google Sheets,
Google Docs,
Google Apps Script,
Google Search",,Hourly,Automation,
Messenger Bot autmation setup,"Facebook Messenger,
Facebook Development",$150.00,Fixed,Automation,Expert
Playwright Developer for Automation Tasks,"PHP,
English,
JavaScript,
HTML5",,Hourly,Automation,Intermediate
Create custom LLM Automation system,"Business Process, Automation,
Robotic Process, Automation,
ai automation,
Automation,
Claude,",$500.00,Fixed,Automation,Expert
Automate Website Quote Requests,"PHP,
Business Process, Automation,
API Integration,
Data Extraction,
Make.com,
Zapier,
Web Development,
Gravity Forms,
monday.com,
Automation,
JavaScript,
WordPress",$20.00,Hourly,Automation,Intermediate
Whatsapp Automation Expert,"High level,
Automation,
Marketing Automation,
Marketing Strategy",$50.00,fixed,Automation,Expert
Marketing Automation Workflow Setup,"Microsoft Dynamics CRM,
Vtiger Development,
Nice-to-have skills,
Zapier,
Microsoft SharePoint, Administration",$5.00,Hourly,Automation,Intermediate
